Time_s,Voltage,Acc0,Acc1
5.521688159,-0.057985332,-0.001358968,-0.001202011
5.522274326,-0.059812423,-0.001355217,-0.001258607
5.522860492,-0.061624406,-0.001346366,-0.001319593
5.523446659,-0.063421135,-0.001345847,-0.001385442
5.524032825,-0.06520266,-0.001366306,-0.001456485
5.524618992,-0.066968993,-0.001416988,-0.001532719
5.525205158,-0.06871994,-0.001501731,-0.001613614
5.525791325,-0.070455074,-0.001617942,-0.001697907
5.526377491,-0.072173885,-0.001756761,-0.001783411
5.526963658,-0.073876035,-0.001904403,-0.00186697
5.527549824,-0.075561627,-0.002044433,-0.001944647
5.528135991,-0.077231331,-0.002160568,-0.002012151
5.528722157,-0.078886322,-0.002239485,-0.002065379
5.529308324,-0.080528013,-0.002273122,-0.002100929
5.52989449,-0.082157662,-0.002260002,-0.002116494
5.530480657,-0.083775959,-0.002205369,-0.002111135
5.531066823,-0.085382728,-0.002120073,-0.002085409
5.531652989,-0.086976852,-0.002018477,-0.002041364
5.532239156,-0.088556437,-0.001915757,-0.001982335
5.532825322,-0.090119154,-0.001825161,-0.001912561
5.533411489,-0.091662617,-0.001755724,-0.001836692
5.533997655,-0.093184701,-0.001710875,-0.001759282
5.534583822,-0.094683747,-0.001688173,-0.001684359
5.535169988,-0.096158647,-0.001680191,-0.0016151
5.535756155,-0.097608828,-0.001676369,-0.001553598
5.536342321,-0.099034136,-0.001665478,-0.001500769
5.536928488,-0.100434634,-0.001638198,-0.001456462
5.537514654,-0.10181033,-0.001589318,-0.001419833
5.538100821,-0.103160899,-0.001519096,-0.001389877
5.538686987,-0.104485499,-0.001433498,-0.00136595
5.539273154,-0.10578279,-0.00134327,-0.00134807
5.53985932,-0.107051166,-0.001262009,-0.001336938
5.540445487,-0.108289134,-0.001203635,-0.001333748
5.541031653,-0.109495706,-0.001179729,-0.001339937
5.541617819,-0.11067069,-0.001197278,-0.001356903
5.542203986,-0.111814824,-0.001257231,-0.001385704
5.542790152,-0.112929694,-0.001354163,-0.001426687
5.543376319,-0.114017454,-0.001477087,-0.001479132
5.543962485,-0.115080368,-0.001611293,-0.00154104
5.544548652,-0.116120258,-0.001740874,-0.001609198
5.545134818,-0.117137946,-0.001851473,-0.001679543
5.545720985,-0.118132781,-0.00193275,-0.00174774
5.546307151,-0.119102363,-0.001980086,-0.001809823
5.546893318,-0.120042588,-0.001995178,-0.001862747
5.547479484,-0.120948086,-0.001985444,-0.001904792
5.548065651,-0.121813004,-0.001962335,-0.001935735
5.548651817,-0.122631987,-0.001938921,-0.001956817
5.549237984,-0.123401177,-0.001927229,-0.00197046
5.54982415,-0.124118995,-0.001935829,-0.001979803
5.550410317,-0.124786574,-0.001968139,-0.001988115
5.550996483,-0.125407702,-0.00202174,-0.001998192
5.551582649,-0.125988302,-0.002088829,-0.002011818
5.552168816,-0.126535549,-0.002157709,-0.002029356
5.552754982,-0.127056768,-0.00221507,-0.002049542
5.553341149,-0.127558311,-0.002248634,-0.002069578
5.553927315,-0.128044552,-0.002249657,-0.002085582
5.554513482,-0.128517162,-0.002214781,-0.002093379
5.555099648,-0.128974771,-0.002146824,-0.002089397
5.555685815,-0.129413117,-0.00205436,-0.002071405
5.556271981,-0.129825692,-0.001950137,-0.002038864
5.556858148,-0.130204805,-0.001848677,-0.001992902
5.557444314,-0.130542856,-0.001763507,-0.001936071
5.558030481,-0.130833553,-0.001704575,-0.001871998
5.558616647,-0.131072779,-0.001676348,-0.001804949
5.559202814,-0.131258945,-0.001676957,-0.001739247
5.55978898,-0.131392819,-0.001698554,-0.001678551
5.560375147,-0.13147699,-0.001728823,-0.001625173
5.560961313,-0.131515184,-0.00175337,-0.001579709
5.561547479,-0.131511603,-0.001758571,-0.001541124
5.562133646,-0.131470404,-0.001734308,-0.001507263
5.562719812,-0.131395326,-0.00167608,-0.001475553
5.563305979,-0.131289459,-0.00158604,-0.001443665
5.563892145,-0.131155099,-0.001472752,-0.001410001
5.564478312,-0.130993711,-0.00134972,-0.001374011
5.565064478,-0.13080597,-0.001232961,-0.001336369
